New TCP connections detected: 203.193.125.29 -> True: 410, Estimated: 1346, ARE: 1.0000
New TCP connections detected: 203.193.125.85 -> True: 317, Estimated: 1226, ARE: 1.0000
New TCP connections detected: 203.193.125.92 -> True: 361, Estimated: 1275, ARE: 1.0000
New TCP connections detected: 31.242.205.205 -> True: 353, Estimated: 1304, ARE: 1.0000
New TCP connections detected: 43.22.102.20 -> True: 768, Estimated: 1548, ARE: 1.0000
New TCP connections detected: 43.22.126.129 -> True: 266, Estimated: 1181, ARE: 1.0000
New TCP connections detected: 54.17.217.213 -> True: 205, Estimated: 1087, ARE: 1.0000
Average ARE for epoch: 1.0000
New TCP connections detected: 1.254.174.225 -> True: 244, Estimated: 1044, ARE: 1.0000
New TCP connections detected: 101.218.214.194 -> True: 257, Estimated: 1160, ARE: 1.0000
New TCP connections detected: 130.189.92.134 -> True: 233, Estimated: 1075, ARE: 1.0000
New TCP connections detected: 131.98.137.48 -> True: 4677, Estimated: 5538, ARE: 0.1841
New TCP connections detected: 131.98.99.244 -> True: 473, Estimated: 1408, ARE: 1.0000
New TCP connections detected: 131.98.99.245 -> True: 440, Estimated: 1336, ARE: 1.0000
New TCP connections detected: 131.99.1.110 -> True: 457, Estimated: 1304, ARE: 1.0000
New TCP connections detected: 131.99.80.181 -> True: 276, Estimated: 1196, ARE: 1.0000
New TCP connections detected: 131.99.80.24 -> True: 1737, Estimated: 2529, ARE: 0.4560
New TCP connections detected: 131.99.96.179 -> True: 250, Estimated: 1014, ARE: 1.0000
New TCP connections detected: 133.11.104.187 -> True: 409, Estimated: 1254, ARE: 1.0000
New TCP connections detected: 133.11.39.75 -> True: 229, Estimated: 1059, ARE: 1.0000
New TCP connections detected: 133.3.126.30 -> True: 353, Estimated: 1257, ARE: 1.0000
New TCP connections detected: 133.3.126.31 -> True: 375, Estimated: 1209, ARE: 1.0000
New TCP connections detected: 133.3.126.40 -> True: 326, Estimated: 1247, ARE: 1.0000
New TCP connections detected: 133.3.126.47 -> True: 214, Estimated: 958, ARE: 1.0000
New TCP connections detected: 133.3.126.54 -> True: 404, Estimated: 1184, ARE: 1.0000
New TCP connections detected: 133.3.126.57 -> True: 412, Estimated: 1194, ARE: 1.0000
New TCP connections detected: 133.3.126.60 -> True: 361, Estimated: 1134, ARE: 1.0000
New TCP connections detected: 133.3.228.174 -> True: 230, Estimated: 1066, ARE: 1.0000
New TCP connections detected: 133.3.248.224 -> True: 263, Estimated: 1180, ARE: 1.0000
New TCP connections detected: 133.3.252.102 -> True: 319, Estimated: 1156, ARE: 1.0000
New TCP connections detected: 133.3.254.31 -> True: 236, Estimated: 1098, ARE: 1.0000
New TCP connections detected: 141.161.111.108 -> True: 252, Estimated: 1078, ARE: 1.0000
New TCP connections detected: 150.124.112.108 -> True: 234, Estimated: 915, ARE: 1.0000
New TCP connections detected: 150.124.136.37 -> True: 472, Estimated: 1363, ARE: 1.0000
New TCP connections detected: 150.124.156.12 -> True: 2787, Estimated: 3633, ARE: 0.3036
New TCP connections detected: 150.124.156.14 -> True: 5709, Estimated: 6509, ARE: 0.1401
New TCP connections detected: 150.124.181.229 -> True: 8766, Estimated: 9637, ARE: 0.0994
New TCP connections detected: 150.124.182.98 -> True: 300, Estimated: 1087, ARE: 1.0000
New TCP connections detected: 150.124.183.228 -> True: 335, Estimated: 1204, ARE: 1.0000
New TCP connections detected: 150.124.207.130 -> True: 577, Estimated: 1383, ARE: 1.0000
New TCP connections detected: 150.124.225.67 -> True: 368, Estimated: 1227, ARE: 1.0000
New TCP connections detected: 150.124.244.56 -> True: 1269, Estimated: 2084, ARE: 0.6422
New TCP connections detected: 152.125.45.239 -> True: 204, Estimated: 1103, ARE: 1.0000
New TCP connections detected: 153.65.100.158 -> True: 341, Estimated: 1203, ARE: 1.0000
New TCP connections detected: 157.90.154.232 -> True: 249, Estimated: 1037, ARE: 1.0000
New TCP connections detected: 157.90.225.132 -> True: 257, Estimated: 1114, ARE: 1.0000
New TCP connections detected: 157.90.8.172 -> True: 226, Estimated: 992, ARE: 1.0000
New TCP connections detected: 162.227.133.120 -> True: 562, Estimated: 1475, ARE: 1.0000
New TCP connections detected: 163.19.0.132 -> True: 457, Estimated: 1289, ARE: 1.0000
New TCP connections detected: 163.19.21.15 -> True: 297, Estimated: 1164, ARE: 1.0000
New TCP connections detected: 163.19.21.3 -> True: 309, Estimated: 1113, ARE: 1.0000
New TCP connections detected: 163.19.34.75 -> True: 1000, Estimated: 1845, ARE: 0.8450
New TCP connections detected: 163.19.4.219 -> True: 373, Estimated: 1193, ARE: 1.0000
New TCP connections detected: 163.19.7.47 -> True: 295, Estimated: 1124, ARE: 1.0000
New TCP connections detected: 175.214.57.206 -> True: 463, Estimated: 1292, ARE: 1.0000
New TCP connections detected: 202.12.26.38 -> True: 349, Estimated: 1196, ARE: 1.0000
New TCP connections detected: 202.21.42.137 -> True: 313, Estimated: 1186, ARE: 1.0000
New TCP connections detected: 202.21.42.172 -> True: 318, Estimated: 1084, ARE: 1.0000
New TCP connections detected: 202.21.42.54 -> True: 316, Estimated: 1027, ARE: 1.0000
New TCP connections detected: 202.21.43.188 -> True: 61078, Estimated: 61914, ARE: 0.0137
New TCP connections detected: 202.21.43.4 -> True: 301, Estimated: 1207, ARE: 1.0000
